brand,y,event,sitewide,discount,start_date,end_date,snapshot
Nutra Organics,1,,1,10% off,06/12/2014,06/12/2014,20141206173218
Nutra Organics,1,,1,10% off,21/12/2014,25/12/2014,20141221025826
Nutra Organics,1,Eofy,0,25% off,02/06/2015,02/06/2015,20150602034639
Nutra Organics,1,Eofy,1,15% off,23/06/2016,23/06/2016,20160623092427
Nutra Organics,1,End Of Financial Year,0,up to 20% off,30/06/2018,30/06/2018,20180630033746
Nutra Organics,1,,0,,07/12/2021,07/12/2021,20211207093712
Nutra Organics,1,Eofy,1,up to 40% off,14/06/2024,18/06/2024,20240614211244
Nutra Organics,1,,1,20% off,14/08/2024,14/08/2024,20240814152050
Nutra Organics,1,Black Friday,1,20% off,23/11/2024,23/11/2024,20241123021509
Nutra Organics,1,Black Friday,1,20% off,01/12/2024,01/12/2024,20241201041648
